Date,Meal,Time,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2018-07-01,Breakfast,10:00 AM,40.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,1.8,0.0,0.0,0.0,0.0
2018-07-01,Breakfast,10:15 AM,123.0,8.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,5.1,2.5,0.0,0.0,0.0,0.0
2018-07-01,Lunch,12:00 PM,99.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,0.0,0.0,1.8,0.0,0.0,0.0,0.0
2018-07-01,Lunch,2:05 PM,40.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,1.8,0.0,0.0,0.0,0.0
2018-07-01,Lunch,2:45 PM,168.2,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,32.1,0.0,0.0,0.0,0.0
2018-07-01,Dinner,,285.3,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0.0,0.0,12.3,0.0,0.0,0.0,0.0
2018-07-01,Dinner,7:15 PM,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.7,2.3,0.7,0.0,0.0,0.0,0.0
2018-07-01,Dinner,7:45 PM,168.2,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,32.1,0.0,0.0,0.0,0.0
2018-07-01,Snacks,,88.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0
2018-07-01,Snacks,11:30 AM,168.2,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,32.1,0.0,0.0,0.0,0.0
2018-07-01,Snacks,2:35 PM,152.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0
